Name,Price,Baseprice,Discount,Image,Alt Images,Selected Variant,Seller name,Seller Price
"Nokia 105 2019 (Single SIM, Pink)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx466_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx385_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx425_.jpg']",Pink,Appario Retail Private Ltd,"Rs. 1,049.00"
"Nokia 105 2019 (Single SIM, Pink)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx466_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx385_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx425_.jpg']",Pink,DJSALES,"Rs. 1,079.00"
"Nokia 105 2019 (Single SIM, Pink)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx466_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx385_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx425_.jpg']",Pink,SATGURU ENTERPRISES01,"Rs. 1,016.00"
"Nokia 105 2019 (Single SIM, Pink)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx466_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx385_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx425_.jpg']",Pink,Venturez,"Rs. 1,100.00"
"Nokia 105 2019 (Single SIM, Pink)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx466_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx385_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx425_.jpg']",Pink,D-Cart,"Rs. 1,111.00"
"Nokia 105 2019 (Single SIM, Pink)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx466_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx385_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx425_.jpg']",Pink,ALPHABAT,"Rs. 1,111.00"
"Nokia 105 2019 (Single SIM, Pink)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx466_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx385_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx425_.jpg']",Pink,APS Trading,"Rs. 1,125.00"
"Nokia 105 2019 (Single SIM, Pink)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx466_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx385_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx425_.jpg']",Pink,IndiaCart,"Rs. 1,144.00"
"Nokia 105 2019 (Single SIM, Pink)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx466_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx385_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx425_.jpg']",Pink,R M Digitals,"Rs. 1,150.00"
"Nokia 105 2019 (Single SIM, Pink)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx466_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx385_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx425_.jpg']",Pink,Per Day Deal,"Rs. 1,185.00"
